category,tn,fp,fn,tp,accuracy,precision,recall,f1,auroc
bottle,18,2,3,60,0.9398,0.9677,0.9524,0.96,0.9849
metal_nut,5,17,16,77,0.713,0.8191,0.828,0.8235,0.6056
carpet,14,14,50,39,0.453,0.7358,0.4382,0.5493,0.4422
zipper,21,11,17,102,0.8146,0.9027,0.8571,0.8793,0.854
cable,14,44,7,85,0.66,0.6589,0.9239,0.7692,0.7318
leather,0,22,0,110,0.7419,0.7419,1.0,0.8519,0.6346
transistor,45,15,18,22,0.67,0.5946,0.55,0.5714,0.71
capsule,7,16,11,98,0.7955,0.8596,0.8991,0.8789,0.6657
tile,0,33,0,84,0.718,0.718,1.0,0.8358,0.7071
pill,15,11,20,121,0.8144,0.9167,0.8582,0.8864,0.8014
hazelnut,29,11,19,51,0.7273,0.8226,0.7286,0.7727,0.8121
wood,12,7,8,52,0.8101,0.8814,0.8667,0.874,0.8175
screw,37,4,14,105,0.8875,0.9633,0.8824,0.9211,0.9572
grid,1,20,3,54,0.7051,0.7297,0.9474,0.8244,0.589
