Category,Dataset,Class,Images
bottle,train,good,209
bottle,test,broken_large,20
bottle,test,broken_small,22
bottle,test,contamination,21
bottle,test,good,20
cable,train,good,224
cable,test,bent_wire,13
cable,test,cable_swap,12
cable,test,combined,11
cable,test,cut_inner_insulation,14
cable,test,cut_outer_insulation,10
cable,test,good,58
cable,test,missing_cable,12
cable,test,missing_wire,10
cable,test,poke_insulation,10
capsule,train,good,219
capsule,test,crack,23
capsule,test,faulty_imprint,22
capsule,test,good,23
capsule,test,poke,21
capsule,test,scratch,23
capsule,test,squeeze,20
carpet,train,good,280
carpet,test,color,19
carpet,test,cut,17
carpet,test,good,28
carpet,test,hole,17
carpet,test,metal_contamination,17
carpet,test,thread,19
grid,train,good,264
grid,test,bent,12
grid,test,broken,12
grid,test,glue,11
grid,test,good,21
grid,test,metal_contamination,11
grid,test,thread,11
hazelnut,train,good,391
hazelnut,test,crack,18
hazelnut,test,cut,17
hazelnut,test,good,40
hazelnut,test,hole,18
hazelnut,test,print,17
leather,train,good,245
leather,test,color,19
leather,test,cut,19
leather,test,fold,17
leather,test,glue,19
leather,test,good,32
leather,test,poke,18
metal_nut,train,good,220
metal_nut,test,bent,25
metal_nut,test,color,22
metal_nut,test,flip,23
metal_nut,test,good,22
metal_nut,test,scratch,23
pill,train,good,267
pill,test,color,25
pill,test,combined,17
pill,test,contamination,21
pill,test,crack,26
pill,test,faulty_imprint,19
pill,test,good,26
pill,test,pill_type,9
pill,test,scratch,24
screw,train,good,320
screw,test,good,41
screw,test,manipulated_front,24
screw,test,scratch_head,24
screw,test,scratch_neck,25
screw,test,thread_side,23
screw,test,thread_top,23
tile,train,good,230
tile,test,crack,17
tile,test,glue_strip,18
tile,test,good,33
tile,test,gray_stroke,16
tile,test,oil,18
tile,test,rough,15
toothbrush,train,good,60
toothbrush,test,defective,30
toothbrush,test,good,12
transistor,train,good,213
transistor,test,bent_lead,10
transistor,test,cut_lead,10
transistor,test,damaged_case,10
transistor,test,good,60
transistor,test,misplaced,10
wood,train,good,247
wood,test,color,8
wood,test,combined,11
wood,test,good,19
wood,test,hole,10
wood,test,liquid,10
wood,test,scratch,21
zipper,train,good,240
zipper,test,broken_teeth,19
zipper,test,combined,16
zipper,test,fabric_border,17
zipper,test,fabric_interior,16
zipper,test,good,32
zipper,test,rough,17
zipper,test,split_teeth,18
zipper,test,squeezed_teeth,16
