category,aupro,image_auroc,pixel_auroc,image_f1,pixel_f1
bottle,0.94,1.0,0.99,0.99,0.73
cable,0.93,0.99,0.98,0.97,0.64
capsule,0.93,0.99,0.99,0.98,0.52
carpet,0.95,0.99,0.99,0.97,0.61
grid,0.91,0.99,0.98,0.96,0.39
hazelnut,0.95,1.0,0.99,0.99,0.63
leather,0.98,1.0,0.99,0.99,0.44
metal_nut,0.94,0.99,0.99,0.99,0.84
pill,0.95,0.95,0.98,0.96,0.72
screw,0.94,0.96,0.99,0.95,0.37
tile,0.86,1.0,0.96,0.99,0.62
toothbrush,0.88,0.92,0.99,0.94,0.59
transistor,0.95,0.99,0.97,0.95,0.61
wood,0.89,0.99,0.93,0.97,0.47
zipper,0.94,0.98,0.98,0.98,0.54
